Mean1,Variance1,Skewness1,Kurtosis1,Contrast1,Entropy1,Energy1,Homo1,Corre1,Mean2,Variance2,Skewness2,Kurtosis2,Contrast2,Entropy2,Energy2,Homo2,Corre2,Mean3,Variance3,Skewness3,Kurtosis3,Contrast3,Entropy3,Energy3,Homo13,Corre3,Class
42.30999756,83.4844143,1.81801646,1.807845736,1.467045059,3731.006605,0.703142221,0.870626514,0.732727363,32.6885376,69.61401263,2.097211175,3.172776117,1.669201991,3109.493992,0.726980571,0.860055962,0.679664724,165.1658173,93.98103864,-1.134481029,-0.590944964,1.652185175,5565.156755,0.644235004,0.883303271,0.685421544,1
39.3662262,82.12000604,1.939550317,2.232113878,1.401411422,3436.584393,0.730720471,0.890304953,0.745583449,32.1111145,69.8051932,2.160095264,3.468763717,1.595724661,2802.176309,0.743070107,0.877533656,0.712908182,173.2719727,91.70358677,-1.31813281,-0.16925879,1.606052149,4818.707161,0.676147207,0.896975403,0.713930128,1
37.89851379,84.25756766,2.053723854,2.472864876,1.373625064,10382.3212,0.666713263,0.710449955,0.271061916,55.94255066,88.82837294,1.383325288,0.416289006,2.362290966,8250.06492,0.565928871,0.638617917,0.478408148,162.5377502,82.83588322,-1.117115289,-0.054857655,2.162610138,12243.34409,0.560580205,0.695628608,0.11108756,1
38.37333679,82.48835095,2.026604503,2.479962115,1.485617685,9399.336734,0.649457303,0.695476668,0.311425952,54.77261353,88.81281866,1.426900428,0.524158429,2.269245367,8840.026654,0.571518387,0.641778725,0.440868349,161.5101624,82.69197037,-1.137137628,-0.034112469,2.125591299,11964.6574,0.557702151,0.691260975,0.12816943,1
39.09234619,80.64356761,1.973096188,2.389773339,1.664926291,8257.256189,0.640831606,0.689190557,0.367060701,48.29672241,86.0303543,1.625082797,1.124650417,2.011270474,8784.787408,0.605694837,0.668819323,0.40792104,162.3408966,81.83585313,-1.258372542,0.122906969,2.121964581,11100.56665,0.573414485,0.694172552,0.174132107,1
38.38523865,80.47288814,2.007576866,2.511601444,1.614103411,8119.194577,0.646227742,0.69471145,0.375014493,48.03536987,85.67653327,1.630376932,1.151354306,2.024778458,8657.188802,0.607723352,0.671577511,0.411815142,163.2603455,81.88408376,-1.272058338,0.149204913,2.102166348,10950.76579,0.575542356,0.696214408,0.186212995,1
37.83578491,82.05362369,2.052435351,2.586900676,1.504916311,8825.23704,0.658725117,0.706212716,0.34662475,49.63847351,86.71716139,1.583407712,0.99063679,2.058417886,8611.403385,0.603087552,0.669679145,0.428902936,165.0618896,81.84767452,-1.284696565,0.201956793,2.086262662,10996.84147,0.578732921,0.700486706,0.182106582,1
39.88685608,81.98743436,1.949148444,2.254148426,1.643174882,8384.624831,0.636017632,0.688149765,0.378188342,49.57795715,86.61794233,1.582184096,0.988239944,2.072901677,8907.860876,0.595609717,0.662181829,0.407768627,161.410614,82.22898493,-1.222690986,0.051310482,2.122330785,11011.82543,0.565695574,0.690967613,0.188507397,1
40.76193237,83.18360518,1.9177666,2.100098588,1.656623063,8728.027788,0.630844528,0.683550468,0.371189171,50.93676758,87.69918351,1.545963166,0.858530188,2.092111692,8911.337132,0.588871673,0.660252379,0.422174228,159.5012817,84.12449139,-1.14533837,-0.195681309,2.208193055,11490.81998,0.558823597,0.681860716,0.190930552,1
42.70230103,83.08513952,1.777041786,1.686536428,1.542558204,3699.997829,0.696866574,0.866757891,0.732391277,33.28248596,71.33708671,2.131986277,3.319786333,1.660045102,3184.383103,0.727175818,0.863079016,0.687607534,165.0719147,93.61961246,-1.142536185,-0.579648801,1.722400164,5532.290851,0.640811023,0.877605336,0.684858302,1
43.64785767,86.16054323,1.812601009,1.653542803,1.712595695,9604.784084,0.610269257,0.666106791,0.354975535,54.45481873,89.37427954,1.440482721,0.538826048,2.20569863,9429.575306,0.561171537,0.636468324,0.411155234,153.4875793,86.10362228,-0.965229103,-0.540640687,2.336442169,12289.63222,0.529235612,0.658498581,0.173979071,1
45.39935303,87.5048724,1.751607267,1.42520239,1.767922296,9849.857138,0.596789981,0.655679737,0.358651095,55.21618652,89.55569064,1.418122749,0.48053099,2.252040521,9600.619792,0.551429563,0.63018851,0.402922061,150.9580383,87.09913675,-0.904759852,-0.670731586,2.376120517,12494.79697,0.517124487,0.649421362,0.179266285,1
38.66656494,80.76920695,1.941918098,2.285961066,1.399140158,3278.095141,0.734861424,0.892395802,0.74913176,30.96911621,69.23453715,2.24486459,3.859333262,1.544761899,2848.981715,0.751982618,0.880868672,0.703288006,174.7945404,91.24567096,-1.354007449,-0.080042239,1.595574686,4702.028177,0.683578707,0.899129912,0.718049916,1
46.89901733,88.83204969,1.702896824,1.238506502,1.80103942,10082.87621,0.586074334,0.649974869,0.362926767,57.11891174,89.60313792,1.355673075,0.331982523,2.367045557,9763.803385,0.53452971,0.616808975,0.393333198,147.7158203,87.35985179,-0.81727797,-0.751956859,2.412460085,12770.17183,0.500032892,0.643908062,0.166226585,1
46.20811462,88.23776882,1.723702428,1.31842885,1.786768355,10004.08134,0.593908291,0.655883697,0.359372308,56.43826294,89.88211139,1.381559071,0.384096861,2.313215742,9567.607414,0.543970668,0.62556159,0.409256363,149.1857605,88.02394893,-0.845204212,-0.774461501,2.419353598,12764.48404,0.511235501,0.651013971,0.179065447,1
47.18525696,91.85942432,1.696416561,1.094884057,1.627199419,10710.89525,0.612251456,0.679823098,0.367153823,55.89219666,86.24143461,1.332629369,0.343806866,2.459096846,8227.771048,0.542633052,0.624734677,0.448130483,149.5357819,88.38169981,-0.835265398,-0.735116031,2.235666544,12918.59926,0.525348598,0.67936874,0.175931447,1
44.9672699,88.3837003,1.772257147,1.446948029,1.692299645,9667.322518,0.615053638,0.680037891,0.383017078,53.9617157,87.03800458,1.42171464,0.555297322,2.311909734,8517.815809,0.561654388,0.645532617,0.439164186,152.3507233,87.78670502,-0.924555136,-0.654534454,2.288371391,12289.15046,0.534238015,0.67944403,0.205360361,1
43.86112976,88.60711646,1.813822804,1.551882235,1.598926651,9906.321722,0.628941555,0.690752435,0.370982166,53.47360229,85.52077516,1.408688518,0.553127262,2.353679965,8126.425429,0.562247382,0.643868692,0.44576636,153.7715607,87.15810568,-0.947313052,-0.562270759,2.225239946,12280.44308,0.54091212,0.68766327,0.194485059,1
43.23051453,89.38211194,1.835424207,1.575060205,1.497750338,10079.11893,0.645684788,0.708517912,0.371087608,53.30249023,84.17949476,1.377861978,0.48963047,2.395418485,7456.833548,0.565964306,0.652370393,0.475077211,155.2796936,86.38693179,-0.975179362,-0.453511811,2.133236282,12070.62696,0.551753808,0.706623579,0.194103351,1
43.40126038,83.39081411,1.748599812,1.586876544,1.587196129,3757.483549,0.69088991,0.86457053,0.730218678,33.89744568,72.26560322,2.118145554,3.239008233,1.67216642,3254.570007,0.722825263,0.860490535,0.688872547,164.3528137,94.06465443,-1.121661584,-0.629047945,1.747664704,5561.567255,0.636055953,0.875769637,0.686178042,0
40.36819458,84.33849285,1.938191446,2.115124609,1.524193052,7296.077175,0.655414178,0.728779155,0.488673468,55.73362732,90.45520099,1.413373924,0.446753345,2.18993589,8881.63704,0.560669341,0.644289933,0.458568897,165.6637878,83.29161154,-1.239236918,0.023262573,2.077439153,9453.786489,0.562019418,0.724452046,0.320998644,0
39.66415405,84.47836298,1.973618439,2.217979524,1.483082038,6987.156955,0.669435229,0.745673724,0.511960077,54.45245361,88.97671391,1.435832917,0.542849198,2.182559778,8137.592892,0.570745143,0.656371794,0.487313615,165.9968414,83.30983862,-1.24806217,0.051681897,2.063560461,8998.443719,0.571212681,0.740977731,0.353992579,0
40.402771,85.54029106,1.945746752,2.080828965,1.46388108,7138.974786,0.667503183,0.744047996,0.513654687,54.75479126,88.79876981,1.42181027,0.513219026,2.202319925,8099.456648,0.56776475,0.652949998,0.487657667,165.9581757,83.97528406,-1.240838561,0.003847816,2.061520422,9187.052819,0.57053883,0.739071416,0.350846779,0
42.26148987,82.86296147,1.803327537,1.783356983,1.488476213,3718.677807,0.701066353,0.867985491,0.729598111,32.35379028,69.64590913,2.132283813,3.331070978,1.658294034,3143.368808,0.728555156,0.860262946,0.676474507,164.6452332,93.55573,-1.135283352,-0.582796213,1.695587553,5585.302409,0.640085236,0.879902552,0.681407499,0
42.16311646,83.2374031,1.818153189,1.813440595,1.515904885,3684.966747,0.702047488,0.871194173,0.734456549,33.13813782,70.55151308,2.108351695,3.22696861,1.68171892,3090.144738,0.72555057,0.860788022,0.69006213,165.0370178,93.22635187,-1.149020781,-0.551494865,1.705563359,5475.313662,0.642637103,0.881983606,0.68547208,0
37.83503723,83.17549402,2.053883613,2.53594583,1.416334349,7062.486121,0.683659098,0.751569321,0.491150214,53.85534668,87.97057741,1.444905963,0.596942618,2.238746874,7746.174418,0.575637874,0.657325551,0.500746201,167.4321594,82.4721609,-1.28409308,0.172304949,2.068246866,8883.228952,0.577287549,0.741365886,0.349266588,0
35.20068359,80.13076801,2.171902197,3.092317413,1.390787919,6850.23992,0.696662264,0.75630846,0.468251619,52.5138092,87.17694894,1.480189045,0.70732574,2.161642339,7708.684467,0.578879875,0.659155544,0.494098931,168.0851593,80.80675274,-1.299103494,0.329245508,2.0651258,8543.840533,0.578607109,0.74655667,0.348123955,0
33.06993103,78.28392532,2.280015701,3.578428795,1.330867537,6460.579228,0.713917168,0.770581328,0.474587357,51.06713867,85.64964045,1.505861702,0.813729531,2.161865514,7245.897089,0.590116772,0.670027719,0.50737419,169.6748199,79.15671602,-1.356261702,0.565401719,2.026404009,8122.581801,0.589405279,0.760949859,0.35419548,0
34.32354736,78.48212317,2.208922741,3.315003987,1.419719393,6450.586612,0.696057426,0.754009542,0.478020055,52.25961304,87.17128676,1.489043921,0.731938114,2.176288362,7855.211734,0.582484589,0.665168871,0.484422753,168.5223846,80.81714412,-1.310410139,0.334947739,2.094306321,8482.554871,0.577908468,0.746115484,0.352956243,0
33.04179382,77.89997794,2.279659189,3.60087002,1.352735123,6253.329075,0.709647579,0.767248222,0.486413798,50.05183411,84.99886608,1.534774201,0.909505181,2.161442054,7492.790227,0.59444875,0.669643631,0.482776221,169.8706818,79.77920438,-1.36382437,0.513123385,2.038131078,8264.895619,0.589680305,0.758370508,0.353067083,0
33.71255493,77.59364235,2.235235474,3.458883139,1.41852168,6462.2803,0.694573714,0.750080004,0.465035026,51.53166199,86.77200788,1.508882584,0.794457887,2.172263729,8078.036642,0.585555528,0.663880739,0.464921099,168.3979187,80.03567845,-1.32381971,0.40343213,2.099969825,8642.610539,0.577098844,0.740732179,0.32782285,0
30.97370911,74.82627725,2.380287156,4.164263985,1.33907416,6138.265931,0.717123929,0.765159737,0.453613998,49.71058655,85.02697054,1.551907619,0.958936918,2.163679492,7699.26152,0.595169648,0.670347841,0.46888519,170.9059906,77.92857747,-1.398261173,0.723612684,2.034956743,8192.001072,0.589705868,0.755217117,0.328000453,0
31.84211731,75.05115762,2.324686833,3.935101338,1.406472893,6209.895098,0.707013909,0.755966569,0.450526979,50.55297852,86.48870635,1.544568669,0.899040139,2.150224388,7650.890778,0.595455787,0.675556774,0.489911339,170.7420044,78.74860217,-1.394473288,0.623765818,2.075807261,8255.403523,0.589333276,0.748125537,0.336796292,0
29.37860107,72.97839727,2.470662213,4.6379246,1.298814127,5900.247028,0.729373242,0.775110686,0.447887138,48.12080383,83.68506481,1.594125442,1.115083453,2.145073329,7148.96777,0.608813197,0.682674931,0.49092573,173.2818756,76.41547745,-1.482452315,1.008640145,1.989342488,7878.244332,0.60137544,0.76755129,0.327908233,0
91.70883179,102.8849382,0.586281939,-1.246841663,2.139299821,16119.0964,0.344204637,0.502553494,0.240018037,116.4115448,109.1089273,0.312269459,-1.64618185,3.000199811,18562.02794,0.292497885,0.426185041,0.21926512,121.9751587,89.61970907,-0.009991319,-1.19023615,2.618682011,14467.64069,0.289289491,0.498176838,0.101982681,0
29.81932068,72.28214988,2.423138145,4.483139127,1.368275922,5788.054197,0.719970287,0.765721055,0.447883615,49.37033081,85.53778973,1.578388831,1.020533555,2.145592381,7542.129749,0.603602872,0.683371874,0.485937524,172.6490784,76.75369199,-1.4592684,0.917265125,2.02465012,7807.518597,0.595760971,0.761078739,0.339790053,0
45.7118988,84.82792851,1.65936715,1.276616007,1.617367989,3899.136466,0.678322213,0.861764104,0.729443156,35.05415344,72.92009478,2.050560618,2.950636828,1.720051527,3451.257813,0.712421908,0.85521884,0.675958716,159.7180176,94.95677012,-1.026519828,-0.817974488,1.79856095,5685.605828,0.621011917,0.871921501,0.685170945,0
26.95748901,69.42870594,2.607584635,5.445480637,1.261404905,5526.71685,0.74274853,0.781095711,0.428631718,47.04692078,83.25323358,1.635312442,1.247735092,2.114086178,7187.741207,0.616446571,0.688816995,0.482864142,175.6058502,74.28285448,-1.562569848,1.355767942,1.966265815,7464.657537,0.60977282,0.774604622,0.326130051,0
29.40620422,71.58246637,2.443095786,4.604049301,1.371955907,5648.818934,0.722569971,0.766133501,0.450583032,47.42355347,85.16899874,1.653287816,1.242497464,2.042576624,7481.139308,0.62195131,0.69824458,0.485715729,173.8206635,76.55462404,-1.522263567,1.008334397,2.036406158,7796.643964,0.606225782,0.758903222,0.337244382,0
42.57548523,84.3939709,1.818592048,1.769790338,1.487739291,3758.263301,0.705035434,0.874618872,0.736547904,33.7822113,71.03950116,2.074232204,3.080386077,1.702489264,3086.148835,0.723504286,0.862452979,0.694697584,165.9315948,93.78873063,-1.153279645,-0.56084094,1.700702753,5355.555437,0.647230733,0.883685238,0.69602473,0
38.77000427,76.92062629,1.73731573,1.567087956,1.437075805,3021.853137,0.724936193,0.879543565,0.745009127,25.88661194,66.77637437,2.659141437,5.847494772,1.283262801,3085.877691,0.78712666,0.888775534,0.654552763,176.7826996,93.39572763,-1.331465442,-0.174071415,1.530922895,4920.202498,0.683798282,0.890205055,0.718383515,0
38.60163879,77.19700419,1.789479433,1.802143328,1.422725995,3114.771236,0.724724075,0.878941322,0.739049121,26.3815918,66.11274143,2.582486907,5.513467835,1.345431982,3022.366347,0.779853386,0.88474851,0.65482998,176.0383301,93.35498533,-1.322489486,-0.190441903,1.529325477,5067.1237,0.680874211,0.890795395,0.709722433,0
39.00271606,78.12506714,1.830753077,1.978518611,1.437267869,3230.754724,0.71947081,0.87557407,0.73572505,28.05123901,67.04591868,2.439674839,4.790042164,1.436625369,3099.517001,0.764681963,0.876564722,0.655793496,172.5186005,92.91605677,-1.277551395,-0.284352163,1.573160652,5155.23702,0.669170861,0.887518992,0.701879582,0
40.50436401,80.0674502,1.811363332,1.88324158,1.455690756,3434.302134,0.709965126,0.87149174,0.732536207,29.8253479,68.05877736,2.301749301,4.118832876,1.530768174,3100.030057,0.749194975,0.868773171,0.665895896,169.0535278,93.24279088,-1.215545782,-0.421124267,1.606868968,5431.636237,0.656139859,0.883290751,0.688091287,0
40.39849854,80.76674465,1.855941833,2.023431488,1.453639862,3433.129388,0.711986559,0.873599207,0.73724037,30.82858276,68.5637915,2.226475045,3.768571697,1.583715795,3058.104972,0.741155912,0.865670881,0.67524523,168.2134094,93.23799046,-1.199529157,-0.450327168,1.637887178,5328.529201,0.653809382,0.885285817,0.693981638,0
94.54670715,99.83486465,0.502758465,-1.264355288,2.365507909,15462.16343,0.309657831,0.464110206,0.22582867,111.4115753,111.8847844,0.370889647,-1.661359567,2.805214942,19696.37354,0.31983205,0.43273017,0.212175266,118.7431335,88.95484893,0.002836658,-1.211649299,2.667697313,14202.93471,0.275921993,0.477755492,0.105021871,0
41.73103333,82.97777213,1.835250273,1.879458023,1.446838969,3674.389769,0.707001882,0.872144092,0.733561095,32.12600708,69.10562358,2.124587937,3.299617729,1.651911891,3073.784369,0.731161428,0.86171217,0.67867,166.419632,93.82725192,-1.158252747,-0.542390947,1.620893402,5524.384464,0.647639329,0.883908807,0.68670291,0
89.81263733,98.38924648,0.559093434,-1.194363424,2.371263581,15005.09395,0.324900045,0.476128339,0.226235242,109.740387,112.7275063,0.392376864,-1.662430959,2.710953662,19735.39069,0.331007486,0.451570765,0.222651511,122.7523193,87.67030769,-0.06859463,-1.160583704,2.760666967,13722.65354,0.278258223,0.484648141,0.109890138,0
84.97221375,94.89230815,0.620042334,-1.044073548,2.381169675,14166.12399,0.329432351,0.4714192,0.214519641,121.9584198,112.7434636,0.217205441,-1.770245984,2.769891062,19615.60588,0.319655586,0.450453869,0.22762717,130.0215759,88.37230556,-0.107557181,-1.18239666,2.914872397,13906.82563,0.260509158,0.462204824,0.112134174,0
87.11837769,96.13164043,0.590537518,-1.115903021,2.534591315,14756.92284,0.322687128,0.468973943,0.20311773,108.5907898,112.2100711,0.412795793,-1.63841275,2.714270213,19571.41071,0.332759565,0.447994787,0.221855523,134.8522797,87.99416184,-0.492853767,-0.971369991,2.401230306,13282.63359,0.430849315,0.621781904,0.144964213,0
88.75128174,96.98819747,0.59953777,-1.102263581,2.584977186,15141.56912,0.311695088,0.455513148,0.19660678,106.7975311,110.7764608,0.444220099,-1.584455045,2.779255246,19386.96389,0.322274371,0.431799976,0.209127437,128.5213165,90.03255588,-0.320147853,-1.113952568,2.393826153,14321.38349,0.40542744,0.59991109,0.11891307,0
86.75392151,98.43477555,0.645796361,-1.084122483,2.413843637,15359.44133,0.331893978,0.472830542,0.208882998,108.0762482,109.1536328,0.429612499,-1.560746297,2.870802634,18909.80199,0.308982048,0.424284412,0.205497907,132.6106873,89.56117017,-0.380372732,-1.038894061,2.365154583,14047.67034,0.421743481,0.615974583,0.127242276,0
42.01989746,83.99052994,1.83654416,1.838208664,1.474448839,3758.950725,0.708056883,0.874944582,0.73396443,33.6264801,70.88045158,2.081025323,3.112732418,1.694956018,3031.055758,0.725145896,0.862728288,0.698801197,166.7943268,93.33729086,-1.175968711,-0.503803027,1.70181008,5389.745551,0.648268798,0.883291083,0.691121875,0
83.89031982,96.35324477,0.701871949,-0.95931113,2.478003552,14381.76798,0.326252211,0.463685085,0.226798373,109.130249,110.6049863,0.410006064,-1.60711079,2.829796964,19770.65158,0.314657539,0.430066455,0.191228838,118.8152618,91.07892802,0.078176776,-1.209905576,2.875673816,14977.0493,0.268837065,0.468569987,0.099905734,0
80.23420715,93.8512962,0.730507491,-0.882615982,2.477796087,13755.93735,0.331989651,0.461916501,0.220571232,111.9407806,111.95277,0.363728454,-1.667177963,2.698545228,20095.14779,0.319865705,0.442904965,0.197631676,124.5265656,90.37763247,-0.001377607,-1.201703798,2.927544722,14668.3053,0.263903508,0.464106295,0.105038105,0
86.92256165,98.63398406,0.659311727,-1.060970391,2.42890595,14790.30731,0.332944845,0.482377037,0.241115212,108.1025848,109.0566092,0.429227718,-1.558807951,2.868587782,18684.79962,0.307684475,0.431933252,0.213773096,131.1566315,90.82088921,-0.331888819,-1.113185433,2.414104963,13997.10308,0.41465724,0.615585211,0.154523501,0
41.65324402,82.05096089,1.819531848,1.861958828,1.523215885,3592.886069,0.701856089,0.86770723,0.733549753,32.16267395,70.25205352,2.18220779,3.548592312,1.632713937,3102.567056,0.732150419,0.862026142,0.686164372,166.3171387,93.61574767,-1.162414166,-0.537488348,1.709049388,5477.394768,0.644026547,0.880357585,0.68796123,0
85.94581604,99.06530385,0.678776481,-1.048602517,2.36549608,14211.72172,0.344064514,0.494342885,0.277136569,105.2688751,108.7164602,0.470842314,-1.516551794,2.850252406,18635.89939,0.313510948,0.443022451,0.210979193,133.5594635,90.33715283,-0.426273922,-1.084779947,2.38320777,13221.50527,0.433603956,0.635629326,0.192787951,0
81.68754578,97.74856066,0.739655772,-0.951030293,2.319422235,14209.2426,0.35877721,0.497345575,0.257699186,103.0618134,108.8640615,0.504216419,-1.491325973,2.786535719,19000.07267,0.320207868,0.443451051,0.197889209,138.4047089,89.17194096,-0.52186896,-0.962378037,2.359885981,12990.18511,0.451227695,0.647039668,0.186070632,0
78.1655426,94.71720565,0.764491541,-0.860131135,2.317343237,13375.61694,0.365234035,0.49683327,0.255786678,105.8692017,111.6042601,0.454563889,-1.591731984,2.630190519,19816.36691,0.334101457,0.464020684,0.204168222,127.4429779,87.89408473,-0.102213174,-1.093737543,2.823259977,13103.99887,0.289766352,0.495331088,0.154912825,0
83.04927063,97.56346044,0.686865198,-1.024982964,2.320687888,14019.31711,0.359854887,0.507396383,0.264784293,104.1233521,109.9468023,0.485596719,-1.530457862,2.706049275,18825.79937,0.330385689,0.462239984,0.220783804,141.1331635,88.11150361,-0.619982169,-0.867804212,2.310586508,12274.39069,0.46748232,0.664739479,0.212338561,0
78.07524109,94.86239166,0.745096604,-0.903701168,2.250494537,13210.45302,0.376334254,0.511553656,0.267236679,104.6224213,111.9380414,0.471773388,-1.584390408,2.600317416,19881.2407,0.342771551,0.475167485,0.206257917,129.8433228,86.43871922,-0.168446615,-1.032939863,2.757481205,12403.91268,0.301438081,0.510848573,0.172835658,0
43.33259583,83.37381785,1.751776083,1.600433873,1.5649903,3731.488855,0.692112159,0.864106799,0.731976204,33.72055054,72.14304259,2.128940378,3.286300407,1.673882896,3260.737723,0.72259478,0.858706068,0.687223856,164.025238,94.13949674,-1.114830155,-0.64687675,1.780865638,5539.88506,0.635330035,0.874152674,0.687896434,0
42.43310547,85.20307707,1.834763282,1.780104775,1.458179994,3797.221028,0.709988293,0.877803637,0.738851756,34.90982056,71.70057694,2.005560335,2.785560154,1.730513328,3061.330067,0.717870925,0.861114516,0.702705197,167.1354065,93.19428431,-1.183829903,-0.483006253,1.693680022,5357.937729,0.649821945,0.884992935,0.692003385,0
37.89851379,84.25756766,2.053723854,2.472864876,1.373625064,10382.3212,0.666713263,0.710449955,0.271061916,55.94255066,88.82837294,1.383325288,0.416289006,2.362290966,8250.06492,0.565928871,0.638617917,0.478408148,162.5377502,82.83588322,-1.117115289,-0.054857655,2.162610138,12243.34409,0.560580205,0.695628608,0.11108756,1
38.37333679,82.48835095,2.026604503,2.479962115,1.485617685,9399.336734,0.649457303,0.695476668,0.311425952,54.77261353,88.81281866,1.426900428,0.524158429,2.269245367,8840.026654,0.571518387,0.641778725,0.440868349,161.5101624,82.69197037,-1.137137628,-0.034112469,2.125591299,11964.6574,0.557702151,0.691260975,0.12816943,1
39.09234619,80.64356761,1.973096188,2.389773339,1.664926291,8257.256189,0.640831606,0.689190557,0.367060701,48.29672241,86.0303543,1.625082797,1.124650417,2.011270474,8784.787408,0.605694837,0.668819323,0.40792104,162.3408966,81.83585313,-1.258372542,0.122906969,2.121964581,11100.56665,0.573414485,0.694172552,0.174132107,1
38.38523865,80.47288814,2.007576866,2.511601444,1.614103411,8119.194577,0.646227742,0.69471145,0.375014493,48.03536987,85.67653327,1.630376932,1.151354306,2.024778458,8657.188802,0.607723352,0.671577511,0.411815142,163.2603455,81.88408376,-1.272058338,0.149204913,2.102166348,10950.76579,0.575542356,0.696214408,0.186212995,1
37.83578491,82.05362369,2.052435351,2.586900676,1.504916311,8825.23704,0.658725117,0.706212716,0.34662475,49.63847351,86.71716139,1.583407712,0.99063679,2.058417886,8611.403385,0.603087552,0.669679145,0.428902936,165.0618896,81.84767452,-1.284696565,0.201956793,2.086262662,10996.84147,0.578732921,0.700486706,0.182106582,1
